step,l2_delta,cos_to_prev
11100,2.002501,0.99831939
11200,2.069987,0.99906129
11300,1.622157,0.99892998
11400,2.777879,0.99682933
11500,2.269784,0.99912846
11600,4.034312,0.99627453
11700,1.852949,0.99909306
11800,2.028148,0.99889410
11900,4.616079,0.99514079
12000,2.495647,0.99940860
12100,1.831744,0.99870539
12200,4.368604,0.99584460
12300,2.632262,0.99947375
12400,1.631495,0.99894476
12500,2.953649,0.99826288
12600,1.766811,0.99875641
12700,2.224056,0.99923265
12800,4.075375,0.99603772
12900,2.582705,0.99960822
13000,1.797564,0.99883318
13100,4.148417,0.99565077
13200,2.495247,0.99929368
13300,2.455737,0.99823427
13400,1.589123,0.99894482
13500,2.037923,0.99907291
13600,4.005298,0.99679196
13700,2.704466,0.99950522
13800,1.674733,0.99893665
13900,4.477327,0.99598986
14000,1.985251,0.99921000
14100,2.010582,0.99921238
14200,1.929374,0.99884307
14300,2.309935,0.99795032
14400,2.291678,0.99904484
14500,3.756947,0.99734414
14600,2.074319,0.99950135
14700,1.898444,0.99904692
14800,4.661526,0.99608338
14900,2.494725,0.99935341
15000,1.818483,0.99907541
15100,1.625328,0.99891639
15200,3.758851,0.99562788
15300,2.414366,0.99944401
15400,1.797088,0.99882829
15500,2.404413,0.99774873
15600,2.143429,0.99920690
15700,1.554902,0.99891782
15800,3.352910,0.99583393
15900,2.334149,0.99926758
16000,1.534890,0.99889719
16100,3.900348,0.99511147
16200,2.211079,0.99933678
16300,1.954220,0.99870789
16400,1.971187,0.99830961
16500,2.048468,0.99912167
16600,2.492315,0.99849558
16700,1.726450,0.99872810
16800,1.932788,0.99927086
16900,1.500321,0.99906039
17000,3.518106,0.99557018
17100,2.357785,0.99923420
17200,1.722243,0.99883270
17300,2.536930,0.99735224
17400,1.967169,0.99922603
17500,1.559830,0.99887705
17600,3.390334,0.99555230
17700,2.174370,0.99915695
17800,3.768515,0.99697959
17900,1.853370,0.99930108
18000,1.809381,0.99917054
18100,1.592886,0.99887139
18200,4.687381,0.99568087
18300,2.555047,0.99964499
18400,1.808589,0.99922436
18500,1.468791,0.99906641
18600,4.447611,0.99561167
18700,2.684701,0.99967194
18800,1.691983,0.99912703
18900,4.181604,0.99610722
19000,2.582442,0.99958324
19100,1.587909,0.99896705
19200,3.291599,0.99652678
19300,2.295470,0.99935007
19400,1.571525,0.99882245
19500,3.615819,0.99555212
19600,2.233679,0.99944818
19700,1.468756,0.99896383
19800,4.497467,0.99572158
19900,2.516454,0.99965179
20000,1.661087,0.99915588
20100,4.781629,0.99457312
20200,2.656299,0.99931955
20300,1.556703,0.99894428
20400,3.457628,0.99650407
20500,2.409747,0.99920487
20600,1.613958,0.99878561
20700,4.336445,0.99451482
20800,2.524382,0.99951220
20900,1.435906,0.99908042
21000,1.565598,0.99913132
21100,4.338836,0.99528611
21200,2.882790,0.99954402
21300,1.745096,0.99902952
21400,4.426706,0.99513918
21500,2.670273,0.99947059
21600,1.587244,0.99897450
21700,3.656633,0.99620390
21800,2.435458,0.99950153
21900,1.693687,0.99868947
22000,3.612792,0.99532151
22100,1.975274,0.99927139
22200,1.589122,0.99881190
22300,4.357703,0.99523002
22400,2.741556,0.99936283
22500,1.556878,0.99897993
22600,3.923020,0.99484599
22700,2.058741,0.99924922
22800,1.514734,0.99896622
22900,1.562228,0.99924672
23000,3.367421,0.99578881
23100,2.434849,0.99944317
23200,1.530418,0.99891770
23300,3.466618,0.99540031
23400,1.972519,0.99936414
23500,1.478196,0.99899042
23600,3.482200,0.99606341
23700,2.232064,0.99940741
23800,1.556132,0.99886346
23900,3.570810,0.99559724
24000,2.056692,0.99927449
24100,1.492442,0.99902308
24200,3.211876,0.99629682
24300,2.110889,0.99928665
24400,1.510408,0.99896288
24500,4.396069,0.99598372
24600,2.679777,0.99963033
24700,1.645011,0.99912775
24800,3.519961,0.99620461
24900,2.348749,0.99948257
25000,1.541083,0.99889493
25100,4.227070,0.99565613
25200,2.617764,0.99948353
25300,1.555291,0.99892354
25400,3.878357,0.99530995
25500,2.300693,0.99928379
25600,1.469245,0.99907678
25700,2.674292,0.99713641
25800,1.986332,0.99923801
25900,1.604097,0.99883986
26000,4.270839,0.99556237
26100,2.729846,0.99960625
26200,1.739388,0.99901617
26300,3.956297,0.99540842
26400,2.105614,0.99937963
26500,1.433320,0.99905813
26600,4.065629,0.99687266
26700,2.145284,0.99940413
26800,2.166102,0.99921042
26900,4.499642,0.99600911
27000,2.522212,0.99952590
27100,1.670824,0.99912512
27200,1.499190,0.99909860
27300,4.002710,0.99522996
27400,2.520692,0.99947113
27500,1.440139,0.99908090
27600,3.924315,0.99603993
27700,2.598992,0.99950349
27800,1.530643,0.99903160
27900,3.875203,0.99589264
28000,2.474204,0.99941707
28100,1.615269,0.99882042
28200,3.666934,0.99546283
28300,2.197838,0.99913555
28400,3.811052,0.99694353
28500,2.402158,0.99947071
28600,1.674991,0.99896336
28700,3.838353,0.99726588
28800,2.006044,0.99961531
28900,1.736660,0.99908209
29000,4.109801,0.99594498
29100,2.509947,0.99921805
29200,1.653864,0.99884796
29300,4.286447,0.99584687
29400,2.525493,0.99949563
29500,1.598333,0.99894506
29600,4.128573,0.99647903
29700,2.736533,0.99952269
29800,1.685273,0.99899197
29900,4.574496,0.99587297
30000,2.665294,0.99958837
