step,l2_delta,cos_to_prev
11100,2.080965,0.99932778
11200,3.130709,0.99739873
11300,2.224841,0.99947989
11400,1.621373,0.99878728
11500,2.677487,0.99749148
11600,1.805647,0.99931812
11700,1.678791,0.99900401
11800,2.055776,0.99811721
11900,1.705388,0.99922454
12000,3.436031,0.99678916
12100,2.161542,0.99949336
12200,1.826530,0.99890900
12300,1.490655,0.99903405
12400,1.593912,0.99915171
12500,1.572284,0.99904954
12600,3.676491,0.99747926
12700,2.272303,0.99962819
12800,1.504191,0.99931926
12900,3.482491,0.99642301
13000,2.220599,0.99947810
13100,1.437262,0.99910355
13200,1.916645,0.99839169
13300,1.585627,0.99924004
13400,1.562118,0.99902296
13500,2.878408,0.99686360
13600,1.807334,0.99943513
13700,3.767964,0.99704474
13800,2.324307,0.99953818
13900,1.520555,0.99907440
14000,2.875355,0.99727607
14100,1.941180,0.99941337
14200,1.555056,0.99889344
14300,3.037431,0.99649197
14400,1.897034,0.99946105
14500,3.119340,0.99781084
14600,2.051340,0.99959379
14700,1.468671,0.99902523
14800,3.500359,0.99774837
14900,2.208633,0.99964339
15000,1.452854,0.99932003
15100,3.536085,0.99756438
15200,2.146842,0.99964774
15300,1.453268,0.99927378
15400,3.082132,0.99719644
15500,2.067463,0.99944115
15600,1.541871,0.99889106
15700,3.024720,0.99717200
15800,2.017506,0.99953133
15900,1.426076,0.99905050
16000,3.217113,0.99729061
16100,2.195863,0.99961150
16200,1.418821,0.99907827
16300,1.512625,0.99928659
16400,3.567355,0.99737072
16500,2.520522,0.99968994
16600,1.420365,0.99941677
16700,3.048816,0.99688673
16800,1.974641,0.99949956
16900,1.487844,0.99895966
17000,3.469732,0.99577701
17100,1.947949,0.99947166
17200,1.951041,0.99884021
17300,1.511696,0.99903637
17400,1.484953,0.99933660
17500,3.395566,0.99766517
17600,2.006666,0.99961531
17700,1.510250,0.99899900
17800,1.655373,0.99911708
17900,1.788698,0.99928892
18000,3.463297,0.99790120
18100,2.514193,0.99964112
18200,1.871666,0.99945492
18300,2.933772,0.99716502
18400,1.999468,0.99952745
18500,1.470681,0.99905092
18600,1.582313,0.99932325
18700,1.745002,0.99945295
18800,2.907331,0.99771988
18900,2.774968,0.99968642
19000,1.408859,0.99935448
19100,3.038556,0.99674916
19200,2.012560,0.99952471
19300,1.384931,0.99916613
19400,2.583429,0.99726576
19500,1.690923,0.99938917
19600,3.701574,0.99729151
19700,2.273132,0.99960935
19800,1.408914,0.99928010
19900,1.449547,0.99932921
20000,3.478078,0.99689811
20100,2.445136,0.99963474
20200,1.403073,0.99920183
20300,3.563444,0.99632919
20400,2.311287,0.99947912
20500,1.353100,0.99918354
20600,2.871945,0.99713647
20700,1.857692,0.99943596
20800,2.870427,0.99806875
20900,2.105859,0.99959719
21000,1.427892,0.99908924
21100,3.477436,0.99770802
21200,2.127473,0.99966031
21300,1.528633,0.99933147
21400,3.108868,0.99761057
21500,2.235256,0.99952865
21600,1.388995,0.99911261
21700,3.263655,0.99691892
21800,2.055683,0.99951303
21900,1.546409,0.99890459
22000,2.938630,0.99729693
22100,2.071836,0.99953789
22200,1.490728,0.99896848
22300,1.596285,0.99927616
22400,1.612718,0.99938238
22500,1.804638,0.99941576
22600,3.011461,0.99698460
22700,2.817473,0.99967283
22800,3.003332,0.99727541
22900,2.142545,0.99960899
23000,1.578405,0.99921083
23100,3.060350,0.99724346
23200,2.103783,0.99949992
23300,1.477078,0.99901241
23400,1.540503,0.99933279
23500,1.639387,0.99949795
23600,3.496238,0.99769282
23700,2.802245,0.99968892
23800,1.853142,0.99953783
23900,2.991583,0.99704278
24000,2.053923,0.99955213
24100,1.440869,0.99907422
24200,1.618374,0.99931943
24300,3.101246,0.99685180
24400,2.363130,0.99962056
24500,1.275633,0.99929643
24600,2.773750,0.99678773
24700,1.674359,0.99939799
24800,3.634267,0.99717122
24900,2.292176,0.99954557
25000,1.465190,0.99914694
25100,3.604451,0.99741876
25200,2.248305,0.99965894
25300,1.448266,0.99920148
25400,1.493197,0.99922049
25500,2.880576,0.99688780
25600,1.887599,0.99951267
25700,2.403401,0.99836648
25800,1.670340,0.99948972
25900,1.536457,0.99921799
26000,2.796678,0.99710596
26100,1.837699,0.99943352
26200,1.455965,0.99902803
26300,2.619257,0.99882489
26400,1.735309,0.99890268
26500,1.627484,0.99941909
26600,3.217853,0.99704814
26700,2.178914,0.99959975
26800,1.447109,0.99904054
26900,2.679950,0.99688047
27000,1.527029,0.99921679
27100,3.493268,0.99710703
27200,2.143575,0.99958122
27300,1.425775,0.99906212
27400,3.421363,0.99669313
27500,2.136648,0.99955428
27600,3.066987,0.99732578
27700,2.091952,0.99954951
27800,1.650830,0.99876881
27900,1.695966,0.99896032
28000,3.627439,0.99699378
28100,2.501262,0.99965417
28200,1.436956,0.99925268
28300,3.582802,0.99661374
28400,2.232809,0.99955958
28500,1.524239,0.99896944
28600,2.977799,0.99709737
28700,1.951286,0.99952519
28800,1.459558,0.99902141
28900,2.896754,0.99680930
29000,1.815807,0.99946290
29100,1.504899,0.99906301
29200,2.167675,0.99786949
29300,1.565031,0.99921668
29400,1.608504,0.99895775
29500,3.101689,0.99674183
29600,2.147681,0.99956799
29700,1.857302,0.99881041
29800,1.568935,0.99892282
29900,1.572081,0.99938047
30000,1.681994,0.99922246
