step,l2_delta,cos_to_prev
11100,3.359924,0.99749225
11200,2.087886,0.99957597
11300,2.030683,0.99889559
11400,1.591536,0.99900025
11500,3.815330,0.99556851
11600,2.593769,0.99943274
11700,1.623153,0.99886268
11800,3.833441,0.99547684
11900,2.587489,0.99910021
12000,3.866461,0.99679589
12100,1.869914,0.99906540
12200,2.237154,0.99883229
12300,3.759660,0.99682337
12400,1.953993,0.99945533
12500,2.124006,0.99891490
12600,1.547932,0.99895751
12700,3.165961,0.99589974
12800,2.239587,0.99913782
12900,4.001677,0.99655819
13000,1.845742,0.99924427
13100,2.048612,0.99875808
13200,4.110004,0.99624652
13300,2.500021,0.99940217
13400,1.737537,0.99875402
13500,4.313560,0.99476361
13600,2.583051,0.99924928
13700,1.470376,0.99900144
13800,3.997299,0.99633324
13900,2.597138,0.99954784
14000,1.769711,0.99886686
14100,3.583559,0.99540615
14200,2.012957,0.99916852
14300,1.519373,0.99899149
14400,3.734341,0.99528182
14500,2.382710,0.99920881
14600,1.691010,0.99895418
14700,2.844963,0.99703592
14800,2.417631,0.99887276
14900,1.602932,0.99882567
15000,3.586937,0.99563169
15100,2.481514,0.99929452
15200,1.705791,0.99864721
15300,3.799970,0.99478191
15400,2.211710,0.99910939
15500,3.463893,0.99704927
15600,2.010870,0.99957609
15700,1.913409,0.99873233
15800,4.386189,0.99539262
15900,2.630985,0.99925727
16000,1.599561,0.99889934
16100,3.822929,0.99629855
16200,2.602187,0.99932313
16300,1.525393,0.99889302
16400,3.527602,0.99554276
16500,2.022875,0.99919367
16600,4.237882,0.99665141
16700,2.017607,0.99953490
16800,2.143641,0.99865079
16900,3.913155,0.99635994
17000,2.511509,0.99934155
17100,1.646212,0.99878573
17200,1.679158,0.99907005
17300,3.432433,0.99531597
17400,2.420605,0.99926943
17500,3.926190,0.99637771
17600,2.411837,0.99949253
17700,1.669213,0.99890208
17800,1.573745,0.99915558
17900,3.652737,0.99531329
18000,2.547623,0.99944854
18100,1.460801,0.99900335
18200,2.943456,0.99675047
18300,2.270129,0.99895167
18400,1.519403,0.99896747
18500,3.224191,0.99581444
18600,2.216490,0.99924618
18700,1.529245,0.99885559
18800,4.200478,0.99438679
18900,2.418190,0.99924386
19000,1.497271,0.99892199
19100,4.308386,0.99474239
19200,2.704827,0.99920905
19300,1.650447,0.99879503
19400,3.937350,0.99519295
19500,2.442057,0.99894571
19600,1.643084,0.99870509
19700,4.351507,0.99607474
19800,2.466902,0.99958932
19900,2.013300,0.99892569
20000,4.108674,0.99604398
20100,2.365158,0.99959189
20200,1.779705,0.99892104
20300,4.086202,0.99597842
20400,2.384015,0.99959493
20500,1.691227,0.99880636
20600,3.850576,0.99590486
20700,2.303118,0.99926937
20800,1.597490,0.99875456
20900,4.503880,0.99570167
21000,2.561448,0.99951786
21100,1.827412,0.99896091
21200,3.756540,0.99593967
21300,2.415416,0.99928546
21400,1.513959,0.99889886
21500,3.966236,0.99598402
21600,2.621095,0.99952525
21700,1.741053,0.99872577
21800,4.355044,0.99529099
21900,2.545738,0.99951208
22000,1.676103,0.99881017
22100,3.793735,0.99600923
22200,2.426491,0.99939930
22300,1.614345,0.99874991
22400,4.222103,0.99520612
22500,2.458567,0.99940449
22600,1.512564,0.99889529
22700,1.621403,0.99919695
22800,3.598752,0.99498224
22900,2.457960,0.99907291
23000,1.432221,0.99901021
23100,3.845809,0.99507678
23200,2.406109,0.99923891
23300,2.336751,0.99822497
23400,1.693212,0.99871850
23500,2.080288,0.99905276
23600,4.185897,0.99613053
23700,2.434929,0.99944019
23800,1.846200,0.99887657
23900,1.603287,0.99894118
24000,4.148955,0.99526036
24100,2.621230,0.99964291
24200,1.643357,0.99898732
24300,3.798894,0.99548459
24400,2.355421,0.99940479
24500,1.562215,0.99882472
24600,4.195007,0.99556673
24700,2.282750,0.99935061
24800,1.648642,0.99880910
24900,3.429225,0.99612737
25000,2.221188,0.99924797
25100,1.582538,0.99876565
25200,3.516173,0.99574041
25300,2.242354,0.99935615
25400,1.545580,0.99881136
25500,3.847845,0.99563426
25600,2.339449,0.99952590
25700,1.558589,0.99886149
25800,3.372525,0.99769390
25900,1.618353,0.99919403
26000,1.943405,0.99920344
26100,3.983060,0.99630547
26200,2.343955,0.99951673
26300,1.703495,0.99871999
26400,3.089162,0.99639952
26500,2.216314,0.99930453
26600,1.687262,0.99856520
26700,3.522625,0.99547434
26800,2.131626,0.99932593
26900,1.491552,0.99886882
27000,3.389624,0.99577427
27100,2.089535,0.99925685
27200,1.699370,0.99852908
27300,3.965319,0.99471796
27400,2.193859,0.99937403
27500,1.717683,0.99872518
27600,1.815366,0.99844694
27700,1.967563,0.99895841
27800,3.520252,0.99694937
27900,1.797039,0.99938244
28000,1.593544,0.99915779
28100,3.900103,0.99618363
28200,2.081397,0.99941802
28300,1.830223,0.99852288
28400,3.460101,0.99583209
28500,2.024118,0.99942803
28600,1.516228,0.99886376
28700,3.435065,0.99574071
28800,2.285980,0.99917102
28900,1.879644,0.99876523
29000,1.738848,0.99858761
29100,1.735983,0.99917841
29200,1.566346,0.99883175
29300,3.178354,0.99563229
29400,2.105552,0.99925208
29500,2.567710,0.99811900
29600,1.444102,0.99914408
29700,1.748652,0.99905705
29800,1.583177,0.99888211
29900,3.930033,0.99545151
30000,2.513378,0.99960744
