device: cuda  task: (a+b) mod 113
[  2000] train=0.997 val=0.095 tr_loss=0.0967 val_loss=6.8563 t=36.6s
[  4000] train=1.000 val=0.972 tr_loss=0.0159 val_loss=0.2614 t=71.7s
[  6000] train=1.000 val=1.000 tr_loss=0.0210 val_loss=0.0237 t=106.7s
[  8000] train=1.000 val=1.000 tr_loss=0.0143 val_loss=0.0155 t=141.5s
[ 10000] train=0.902 val=0.899 tr_loss=0.6423 val_loss=0.6660 t=175.7s
[ 12000] train=0.943 val=0.935 tr_loss=0.4138 val_loss=0.4504 t=210.2s
[ 14000] train=1.000 val=1.000 tr_loss=0.0148 val_loss=0.0159 t=244.7s
[ 16000] train=1.000 val=1.000 tr_loss=0.0164 val_loss=0.0195 t=281.0s
[ 18000] train=1.000 val=1.000 tr_loss=0.0131 val_loss=0.0141 t=317.3s
[ 20000] train=0.996 val=0.992 tr_loss=0.1246 val_loss=0.1519 t=355.7s
[ 22000] train=1.000 val=1.000 tr_loss=0.0526 val_loss=0.0644 t=390.4s
[ 24000] train=1.000 val=1.000 tr_loss=0.0060 val_loss=0.0065 t=425.1s
[ 26000] train=1.000 val=1.000 tr_loss=0.0133 val_loss=0.0143 t=459.7s
[ 28000] train=1.000 val=1.000 tr_loss=0.0101 val_loss=0.0107 t=495.1s
[ 30000] train=1.000 val=1.000 tr_loss=0.0322 val_loss=0.0395 t=530.1s
[ 32000] train=1.000 val=1.000 tr_loss=0.0106 val_loss=0.0131 t=565.4s
[ 34000] train=0.970 val=0.966 tr_loss=0.4405 val_loss=0.4650 t=600.2s
[ 36000] train=1.000 val=1.000 tr_loss=0.0154 val_loss=0.0167 t=635.9s
[ 38000] train=0.912 val=0.888 tr_loss=0.9072 val_loss=0.9653 t=671.2s
[ 40000] train=1.000 val=1.000 tr_loss=0.0065 val_loss=0.0069 t=710.5s
[ 42000] train=1.000 val=1.000 tr_loss=0.0304 val_loss=0.0388 t=745.3s
[ 44000] train=1.000 val=1.000 tr_loss=0.0128 val_loss=0.0150 t=779.6s
[ 46000] train=1.000 val=1.000 tr_loss=0.0106 val_loss=0.0119 t=814.5s
[ 48000] train=1.000 val=1.000 tr_loss=0.0099 val_loss=0.0106 t=849.6s
[ 50000] train=0.674 val=0.650 tr_loss=1.7403 val_loss=1.8275 t=884.6s
[ 52000] train=1.000 val=1.000 tr_loss=0.0140 val_loss=0.0164 t=919.5s
[ 54000] train=0.895 val=0.894 tr_loss=0.5660 val_loss=0.6014 t=956.0s
[ 56000] train=1.000 val=1.000 tr_loss=0.0116 val_loss=0.0125 t=990.6s
[ 58000] train=1.000 val=1.000 tr_loss=0.0120 val_loss=0.0127 t=1025.6s
[ 60000] train=1.000 val=1.000 tr_loss=0.0102 val_loss=0.0116 t=1059.5s
done. metrics at /home/nate-agx/chronicle/experiments/grokking/runs/v2_p113_seed0/metrics.jsonl, snapshots at /home/nate-agx/chronicle/experiments/grokking/runs/v2_p113_seed0/snapshots
