device: cuda  task: (a-b) mod 97
[  1000] train=1.000 val=0.000 tr_loss=0.0368 val_loss=8.7379 t=14.9s
[  2000] train=0.998 val=0.001 tr_loss=0.1520 val_loss=7.7078 t=30.3s
[  3000] train=1.000 val=0.003 tr_loss=0.0446 val_loss=7.2333 t=45.4s
[  4000] train=1.000 val=0.008 tr_loss=0.0536 val_loss=6.6871 t=59.9s
[  5000] train=1.000 val=0.014 tr_loss=0.0211 val_loss=6.0597 t=74.4s
[  6000] train=1.000 val=0.057 tr_loss=0.0188 val_loss=4.6616 t=88.4s
[  7000] train=1.000 val=0.404 tr_loss=0.0376 val_loss=2.0482 t=102.4s
[  8000] train=1.000 val=1.000 tr_loss=0.0154 val_loss=0.0373 t=116.7s
[  9000] train=1.000 val=1.000 tr_loss=0.0204 val_loss=0.0260 t=130.9s
[ 10000] train=1.000 val=1.000 tr_loss=0.0119 val_loss=0.0139 t=145.1s
[ 11000] train=1.000 val=1.000 tr_loss=0.0127 val_loss=0.0146 t=159.0s
[ 12000] train=1.000 val=1.000 tr_loss=0.0170 val_loss=0.0193 t=172.8s
[ 13000] train=1.000 val=1.000 tr_loss=0.0155 val_loss=0.0175 t=187.0s
[ 14000] train=0.987 val=0.981 tr_loss=0.2000 val_loss=0.2218 t=200.8s
[ 15000] train=1.000 val=1.000 tr_loss=0.0077 val_loss=0.0086 t=214.8s
[ 16000] train=1.000 val=1.000 tr_loss=0.0133 val_loss=0.0150 t=229.0s
[ 17000] train=1.000 val=1.000 tr_loss=0.0129 val_loss=0.0145 t=243.0s
[ 18000] train=1.000 val=1.000 tr_loss=0.0085 val_loss=0.0094 t=257.2s
[ 19000] train=1.000 val=1.000 tr_loss=0.0075 val_loss=0.0088 t=271.3s
[ 20000] train=1.000 val=1.000 tr_loss=0.0101 val_loss=0.0111 t=285.5s
[ 21000] train=1.000 val=1.000 tr_loss=0.0183 val_loss=0.0265 t=299.6s
[ 22000] train=1.000 val=1.000 tr_loss=0.0103 val_loss=0.0112 t=313.5s
[ 23000] train=1.000 val=1.000 tr_loss=0.0108 val_loss=0.0123 t=327.6s
[ 24000] train=1.000 val=1.000 tr_loss=0.0059 val_loss=0.0064 t=341.7s
[ 25000] train=1.000 val=1.000 tr_loss=0.0097 val_loss=0.0116 t=356.5s
[ 26000] train=1.000 val=1.000 tr_loss=0.0113 val_loss=0.0123 t=371.7s
[ 27000] train=1.000 val=1.000 tr_loss=0.0088 val_loss=0.0102 t=386.2s
[ 28000] train=0.995 val=0.993 tr_loss=0.1749 val_loss=0.2112 t=400.3s
[ 29000] train=1.000 val=1.000 tr_loss=0.0111 val_loss=0.0121 t=423.0s
[ 30000] train=1.000 val=1.000 tr_loss=0.0316 val_loss=0.0430 t=437.2s
[ 31000] train=1.000 val=1.000 tr_loss=0.0124 val_loss=0.0133 t=451.4s
[ 32000] train=1.000 val=1.000 tr_loss=0.0057 val_loss=0.0061 t=465.7s
[ 33000] train=1.000 val=1.000 tr_loss=0.0134 val_loss=0.0148 t=479.7s
[ 34000] train=1.000 val=1.000 tr_loss=0.0094 val_loss=0.0111 t=493.8s
[ 35000] train=1.000 val=1.000 tr_loss=0.0118 val_loss=0.0135 t=507.5s
[ 36000] train=1.000 val=1.000 tr_loss=0.0079 val_loss=0.0087 t=521.6s
[ 37000] train=1.000 val=1.000 tr_loss=0.0108 val_loss=0.0134 t=535.4s
[ 38000] train=1.000 val=1.000 tr_loss=0.0119 val_loss=0.0131 t=549.5s
[ 39000] train=1.000 val=1.000 tr_loss=0.0089 val_loss=0.0109 t=563.6s
[ 40000] train=1.000 val=1.000 tr_loss=0.0111 val_loss=0.0124 t=578.1s
[ 41000] train=1.000 val=1.000 tr_loss=0.0412 val_loss=0.0536 t=592.3s
[ 42000] train=1.000 val=1.000 tr_loss=0.0103 val_loss=0.0114 t=606.6s
[ 43000] train=0.996 val=0.991 tr_loss=0.1397 val_loss=0.1741 t=624.4s
[ 44000] train=1.000 val=1.000 tr_loss=0.0122 val_loss=0.0135 t=638.5s
[ 45000] train=0.991 val=0.982 tr_loss=0.2498 val_loss=0.2914 t=652.8s
[ 46000] train=1.000 val=1.000 tr_loss=0.0116 val_loss=0.0127 t=667.1s
[ 47000] train=1.000 val=1.000 tr_loss=0.0112 val_loss=0.0128 t=681.8s
[ 48000] train=1.000 val=1.000 tr_loss=0.0090 val_loss=0.0098 t=696.0s
[ 49000] train=1.000 val=1.000 tr_loss=0.0102 val_loss=0.0119 t=709.8s
[ 50000] train=1.000 val=1.000 tr_loss=0.0113 val_loss=0.0124 t=723.9s
done. metrics at /home/nate-agx/chronicle/experiments/grokking/runs/v2_sub_seed0/metrics.jsonl, snapshots at /home/nate-agx/chronicle/experiments/grokking/runs/v2_sub_seed0/snapshots
