device: cuda
[  1000] train=0.999 val=0.070 tr_loss=0.0879 val_loss=7.0261 t=17.3s
[  2000] train=1.000 val=0.121 tr_loss=0.0648 val_loss=6.2009 t=34.7s
[  3000] train=1.000 val=0.205 tr_loss=0.0713 val_loss=4.3445 t=66.2s
[  4000] train=1.000 val=0.998 tr_loss=0.0112 val_loss=0.0873 t=80.6s
[  5000] train=1.000 val=1.000 tr_loss=0.0269 val_loss=0.0375 t=94.9s
[  6000] train=1.000 val=1.000 tr_loss=0.0182 val_loss=0.0213 t=109.1s
[  7000] train=1.000 val=1.000 tr_loss=0.0175 val_loss=0.0201 t=123.3s
[  8000] train=1.000 val=1.000 tr_loss=0.0085 val_loss=0.0099 t=137.5s
[  9000] train=1.000 val=1.000 tr_loss=0.0157 val_loss=0.0180 t=152.2s
[ 10000] train=1.000 val=1.000 tr_loss=0.0177 val_loss=0.0218 t=166.6s
[ 11000] train=1.000 val=1.000 tr_loss=0.0135 val_loss=0.0147 t=180.7s
[ 12000] train=0.997 val=0.995 tr_loss=0.1015 val_loss=0.1222 t=195.0s
[ 13000] train=1.000 val=1.000 tr_loss=0.0156 val_loss=0.0180 t=209.7s
[ 14000] train=1.000 val=1.000 tr_loss=0.0122 val_loss=0.0132 t=224.1s
[ 15000] train=1.000 val=1.000 tr_loss=0.0100 val_loss=0.0120 t=239.1s
[ 16000] train=1.000 val=1.000 tr_loss=0.0109 val_loss=0.0118 t=253.7s
[ 17000] train=1.000 val=1.000 tr_loss=0.0142 val_loss=0.0154 t=268.1s
[ 18000] train=1.000 val=1.000 tr_loss=0.0124 val_loss=0.0134 t=282.1s
[ 19000] train=1.000 val=1.000 tr_loss=0.0085 val_loss=0.0091 t=296.3s
[ 20000] train=1.000 val=1.000 tr_loss=0.0238 val_loss=0.0301 t=310.5s
[ 21000] train=1.000 val=1.000 tr_loss=0.0117 val_loss=0.0132 t=324.9s
[ 22000] train=1.000 val=1.000 tr_loss=0.0103 val_loss=0.0111 t=338.9s
[ 23000] train=1.000 val=1.000 tr_loss=0.0062 val_loss=0.0066 t=353.2s
[ 24000] train=1.000 val=1.000 tr_loss=0.0086 val_loss=0.0104 t=367.2s
[ 25000] train=1.000 val=1.000 tr_loss=0.0129 val_loss=0.0138 t=381.3s
[ 26000] train=1.000 val=1.000 tr_loss=0.0109 val_loss=0.0117 t=398.0s
[ 27000] train=1.000 val=1.000 tr_loss=0.0093 val_loss=0.0104 t=417.6s
[ 28000] train=1.000 val=1.000 tr_loss=0.0117 val_loss=0.0126 t=431.7s
[ 29000] train=1.000 val=1.000 tr_loss=0.0107 val_loss=0.0118 t=445.9s
[ 30000] train=1.000 val=1.000 tr_loss=0.0114 val_loss=0.0124 t=460.0s
[ 31000] train=0.964 val=0.955 tr_loss=0.3165 val_loss=0.3528 t=473.9s
[ 32000] train=1.000 val=1.000 tr_loss=0.0090 val_loss=0.0101 t=497.5s
[ 33000] train=1.000 val=1.000 tr_loss=0.0128 val_loss=0.0138 t=517.9s
[ 34000] train=1.000 val=1.000 tr_loss=0.0112 val_loss=0.0121 t=531.8s
[ 35000] train=0.729 val=0.706 tr_loss=1.2918 val_loss=1.3679 t=545.8s
[ 36000] train=1.000 val=1.000 tr_loss=0.0164 val_loss=0.0200 t=559.8s
[ 37000] train=1.000 val=1.000 tr_loss=0.0105 val_loss=0.0120 t=574.9s
[ 38000] train=1.000 val=1.000 tr_loss=0.0129 val_loss=0.0139 t=607.1s
[ 39000] train=1.000 val=1.000 tr_loss=0.0221 val_loss=0.0259 t=628.5s
[ 40000] train=1.000 val=1.000 tr_loss=0.0118 val_loss=0.0129 t=642.8s
[ 41000] train=1.000 val=1.000 tr_loss=0.0125 val_loss=0.0134 t=657.7s
[ 42000] train=1.000 val=1.000 tr_loss=0.0102 val_loss=0.0110 t=672.5s
[ 43000] train=1.000 val=1.000 tr_loss=0.0120 val_loss=0.0129 t=686.7s
[ 44000] train=1.000 val=1.000 tr_loss=0.0104 val_loss=0.0111 t=709.0s
[ 45000] train=1.000 val=1.000 tr_loss=0.0105 val_loss=0.0113 t=723.3s
[ 46000] train=1.000 val=1.000 tr_loss=0.0152 val_loss=0.0179 t=737.9s
[ 47000] train=1.000 val=1.000 tr_loss=0.0103 val_loss=0.0112 t=752.0s
[ 48000] train=1.000 val=1.000 tr_loss=0.0120 val_loss=0.0128 t=766.4s
[ 49000] train=1.000 val=1.000 tr_loss=0.0098 val_loss=0.0105 t=780.4s
[ 50000] train=1.000 val=1.000 tr_loss=0.0093 val_loss=0.0099 t=794.5s
done. metrics at /home/nate-agx/chronicle/experiments/grokking/runs/v2/metrics.jsonl, snapshots at /home/nate-agx/chronicle/experiments/grokking/runs/v2/snapshots
