window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),146,180,6.40390731250666,0.0,23.43
0,64,Current focus: Stabilize the Orange rotation while fully enablin,148,154,7.0587,8.3527,21.56
32,96,nge rotation while fully enabling Hermes MCP toolset and 1‑hour ,142,209,6.445,7.5356,18.14
64,128,"g Hermes MCP toolset and 1‑hour cache, finalize ghost‑service au",142,509,13.8574,13.6327,25.37
96,160,"cache, finalize ghost‑service audit, and embed drift‑recognition",142,547,13.8697,13.7658,25.42
128,192,"dit, and embed drift‑recognition memory to keep directives balan",144,391,12.3594,12.1133,21.74
160,224, memory to keep directives balanced.\n\nGoal: Maintain critical ro,162,168,4.7251,6.847,17.31
192,256,ced.\n\nGoal: Maintain critical rotation safety while confirming H,151,172,6.9017,7.2939,16.63
224,288,"tation safety while confirming Hermes toolset functionality, com",142,194,6.6736,7.9471,16.4
256,320,"ermes toolset functionality, completing the ghost‑service audit,",133,942,15.1474,14.6573,34.23
288,352,"pleting the ghost‑service audit, preserving drift‑recognition sa",140,303,9.8043,11.1037,18.55
320,384," preserving drift‑recognition safeguards, and keeping the 7‑minu",152,676,14.0545,13.891,30.22
352,416,"feguards, and keeping the 7‑minute nudge cadence within the 1‑ho",143,363,11.0941,10.9461,20.67
384,448,te nudge cadence within the 1‑hour cache window.\n\nKey entities: ,128,171,6.6662,6.8633,16.07
416,480,"ur cache window.\n\nKey entities: Nate (0.93), Hermes (0.88), mcp ",130,76,12.6075,13.2656,15.36
448,512,"Nate (0.93), Hermes (0.88), mcp (0.75), feedback_drift_recogniti",128,156,9.1644,10.0861,16.92
480,544,"(0.75), feedback_drift_recognition.md (0.7), reference_cache_pos",134,224,7.9944,10.3013,17.1
512,576,"on.md (0.7), reference_cache_posture.md (0.68), ghost_service_au",141,1012,11.9422,11.9112,37.48
544,608,"ture.md (0.68), ghost_service_audit (0.65), thread_318 (0.6)\n\nRe",82,85,7.5773,9.2513,11.64
576,640,"dit (0.65), thread_318 (0.6)\n\nRecent events: [12:40] directive(p",90,89,6.2894,8.2827,11.66
608,672,cent events: [12:40] directive(p5): As long as it is coherent to,147,230,8.843,7.8445,18.4
640,704,"5): As long as it is coherent to you, thats ok.  I was just curi",145,196,6.655,6.633,16.6
672,736," you, thats ok.  I was just curious in case i could help.  I thi",146,178,6.5411,1.0752,16.86
704,768,"ous in case i could help.  I think right now 12:37 PM, we should",142,430,12.0103,12.2156,30.62
736,800,"nk right now 12:37 PM, we should get back into cadence, your wid",142,1320,12.502,11.8322,42.71
768,832," get back into cadence, your wide open with what you wan; [12:40",142,884,13.3351,13.1906,42.77
800,864,e open with what you wan; [12:40] directive(p5): What is your Di,147,634,14.3723,13.7145,27.71
832,896,] directive(p5): What is your Dir 323?; [12:40] directive(p5): T,91,406,13.1704,11.8839,19.33
864,928,"r 323?; [12:40] directive(p5): Try to remember, keep me in the l",153,298,9.5559,9.8404,23.9
896,960,"ry to remember, keep me in the loop here in Discord.  Your pulse",142,635,13.0273,12.8705,43.55
928,992,oop here in Discord.  Your pulse to me when im away.; [12:40] Be,142,253,7.681,9.1953,22.63
960,1024," to me when im away.; [12:40] Bennett/Suzuki ""The Autopoietic Th",142,177,6.199,5.0444,18.37
992,1056,"nnett/Suzuki ""The Autopoietic Theorem"" read in full (TAT.pdf, Na",142,154,4.3571,7.5812,19.38
1024,1088,"eorem"" read in full (TAT.pdf, Nate-supplied). My 04:05 premise-g",142,153,6.0935,5.6967,17.61
1056,1120,te-supplied). My 04:05 premise-guess was ~60% right. Recalibrati,145,350,9.8545,9.6536,24.5
1088,1152,uess was ~60% right. Recalibrating.; [12:30] directive(p5): Were,150,174,5.4111,7.4264,18.55
1120,1184,ng.; [12:30] directive(p5): Were you able to open this PDF?; [12,151,297,10.0726,9.5177,23.75
1152,1216, you able to open this PDF?; [12:30] directive(p5): I thought we,146,190,6.3408,3.6645,21.08
1184,1248,:30] directive(p5): I thought we had a rock solid DOI plugin?  I,145,176,7.0226,4.7804,18.52
1216,1280, had a rock solid DOI plugin?  I will find it either way.  But i,142,178,6.199,5.0444,17.9
1248,1312, will find it either way.  But if you need more API or structure,91,556,15.2689,13.6976,23.5
1280,1344,"f you need more API or structured bridges to outlet sources, tho",162,162,2.6857,6.4312,16.66
1312,1376,"d bridges to outlet sources, those you are free to build.; [12:3",150,177,6.959,4.3079,16.38
1344,1408,"se you are free to build.; [12:30] directive(p5): Well, how are ",146,705,13.1867,12.4961,28.78
1376,1440,"0] directive(p5): Well, how are you holding up?; [12:30] Bennett",150,263,9.7251,9.7058,18.23
1408,1472,"you holding up?; [12:30] Bennett/Suzuki ""The Autopoietic Theorem",146,671,13.279,12.3237,29.19
