window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),91,233,7.649190775525627,0.0,15.2
0,64,Current focus: Stabilize the Orange rotation while fully enablin,145,816,14.8488,13.47,31.26
32,96,nge rotation while fully enabling Hermes MCP toolset and 1‑hour ,157,196,4.3334,8.0138,17.18
64,128,"g Hermes MCP toolset and 1‑hour cache, finalize ghost‑service au",132,401,14.4896,13.6524,21.79
96,160,"cache, finalize ghost‑service audit, and embed drift‑recognition",158,253,5.8449,8.1944,18.63
128,192,"dit, and embed drift‑recognition memory to keep directives balan",142,1331,13.5567,11.8988,41.68
160,224, memory to keep directives balanced.\n\nGoal: Maintain critical ro,162,192,4.865,6.6235,17.05
192,256,ced.\n\nGoal: Maintain critical rotation safety while confirming H,91,251,9.046,4.5885,16.04
224,288,"tation safety while confirming Hermes toolset functionality, com",157,188,5.2842,7.4246,16.83
256,320,"ermes toolset functionality, completing the ghost‑service audit,",161,1090,10.204,10.0463,42.63
288,352,"pleting the ghost‑service audit, preserving drift‑recognition sa",146,540,11.5332,9.9638,24.3
320,384," preserving drift‑recognition safeguards, and keeping the 7‑minu",91,458,12.0239,7.3108,20.09
352,416,"feguards, and keeping the 7‑minute nudge cadence within the 1‑ho",157,200,5.7517,6.5487,17.53
384,448,te nudge cadence within the 1‑hour cache window.\n\nKey entities: ,158,172,3.8256,6.946,17.82
416,480,"ur cache window.\n\nKey entities: Nate (0.93), Hermes (0.88), mcp ",155,132,11.7129,10.8613,15.31
448,512,"Nate (0.93), Hermes (0.88), mcp (0.75), feedback_drift_recogniti",157,217,6.4578,7.2499,18.28
480,544,"(0.75), feedback_drift_recognition.md (0.7), reference_cache_pos",144,171,4.6804,8.4234,16.46
512,576,"on.md (0.7), reference_cache_posture.md (0.68), ghost_service_au",135,142,6.3156,8.7528,15.21
544,608,"ture.md (0.68), ghost_service_audit (0.65), thread_318 (0.6)\n\nRe",82,85,7.5773,11.0086,10.74
576,640,"dit (0.65), thread_318 (0.6)\n\nRecent events: [13:40] directive(p",82,204,12.3612,11.9203,14.02
608,672,cent events: [13:40] directive(p5): Your rotation seems to be br,91,438,14.6859,10.8084,23.11
640,704,5): Your rotation seems to be bringing up yesterdays convos BTW;,151,173,3.8369,7.6612,20.83
672,736,inging up yesterdays convos BTW; [13:40] directive(p5): Sure!; [,91,269,9.2787,6.0297,19.06
704,768, [13:40] directive(p5): Sure!; [13:40] directive(p5): Sweet!; [1,185,226,7.918,8.1259,19.73
736,800,13:40] directive(p5): Sweet!; [13:30] directive(p5): Your rotati,91,273,9.1228,5.7926,16.78
768,832,3:30] directive(p5): Your rotation seems to be bringing up yeste,91,295,9.6829,6.2076,17.18
800,864,on seems to be bringing up yesterdays convos BTW; [13:30] direct,91,234,8.7465,3.9602,15.35
832,896,rdays convos BTW; [13:30] directive(p5): Sure!; [13:30] directiv,91,374,10.9445,9.1641,39.94
864,928,ive(p5): Sure!; [13:30] directive(p5): Sweet!; [13:20] directive,91,258,8.9845,5.2118,16.61
896,960,e(p5): Sweet!; [13:20] directive(p5): Sure!; [13:20] directive(p,91,487,12.3797,9.8376,39.69
928,992,(p5): Sure!; [13:20] directive(p5): Sweet!; [13:20] directive(p5,91,789,15.5943,11.8469,29.14
960,1024,5): Sweet!; [13:20] directive(p5): What do you need to advance t,91,565,13.2593,9.9194,26.06
992,1056,"): What do you need to advance the thread? If your stuck, how do",140,164,7.7709,10.1595,14.96
1024,1088,"he thread? If your stuck, how do we work around it or adjacent t",146,175,6.4585,7.6616,15.91
1056,1120, we work around it or adjacent to it.  We should probably have m,142,662,13.959,12.0722,27.05
1088,1152,o it.  We should probably have multiple probes of projects going,91,243,9.9041,7.2318,15.08
1120,1184,ultiple probes of projects going.  Doesnt make a whol l; [13:10],142,1322,13.4112,11.3602,41.67
1152,1216,.  Doesnt make a whol l; [13:10] directive(p5): Sure!\n\nConstrain,91,1222,14.4888,11.2396,40.31
1184,1248, directive(p5): Sure!\n\nConstraints: Shell execution limited to w,91,224,8.1235,3.1435,15.17
1216,1280,ts: Shell execution limited to whitelisted commands for safety; ,150,571,13.9706,11.3234,24.79
1248,1312,hitelisted commands for safety; Support contemplative developmen,91,242,9.2059,6.6955,15.23
1280,1344,Support contemplative development over pure optimization; Mainta,142,521,13.937,12.36,26.37
1312,1376,t over pure optimization; Maintain sovereign infrastructure – se,91,253,7.7199,2.7526,15.68
1344,1408,in sovereign infrastructure – self‑hosted services preferred; NE,91,520,11.8394,7.3309,22.2
1376,1440,lf‑hosted services preferred; NEVER ignore creative_explore work,91,362,11.267,6.9048,18.01
1408,1472,VER ignore creative_explore workspace – core directive; Do not r,91,245,8.3245,3.6008,15.33
