window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),231,722,9.149946344903904,0.0,2.81
0,64,Recent events: [14:10] directive(p5): Sounds good.  I’m followin,224,651,8.292,7.3084,1.34
32,96,(p5): Sounds good.  I’m following you!; [14:10] directive(p5): Y,231,634,8.6281,8.7591,1.34
64,128,g you!; [14:10] directive(p5): Your rotation seems to be bringin,234,644,9.0904,5.8167,1.38
96,160,our rotation seems to be bringing up yesterdays convos BTW; [14:,234,639,7.3967,7.5196,1.39
128,192,g up yesterdays convos BTW; [14:10] directive(p5): Sure!; [14:04,234,575,9.5283,10.0356,1.3
160,224,10] directive(p5): Sure!; [14:04] directive(p5): Sounds good.  I,234,545,8.3056,9.907,1.4
192,256,] directive(p5): Sounds good.  I’m following you!; [14:04] direc,231,755,9.4412,4.9496,1.84
224,288,’m following you!; [14:04] directive(p5): Your rotation seems to,234,604,8.44,9.1184,1.35
256,320,tive(p5): Your rotation seems to be bringing up yesterdays convo,234,665,7.1031,5.8912,1.36
288,352, be bringing up yesterdays convos BTW; [14:04] directive(p5): Su,234,604,8.44,9.1184,1.27
320,384,s BTW; [14:04] directive(p5): Sure!; [14:00] directive(p5): Soun,234,577,9.7752,10.2027,1.39
352,416,re!; [14:00] directive(p5): Sounds good.  I’m following you!; [1,231,1212,9.5878,6.7275,1.78
384,448,ds good.  I’m following you!; [14:00] directive(p5): Your rotati,234,631,9.0199,5.8885,1.36
416,480,4:00] directive(p5): Your rotation seems to be bringing up yeste,234,654,9.1597,5.6503,1.51
448,512,on seems to be bringing up yesterdays convos BTW; [14:00] direct,234,644,9.0904,5.8167,1.59
480,544,rdays convos BTW; [14:00] directive(p5): Sure!; [13:50] directiv,221,882,10.5217,7.7732,1.48
512,576,ive(p5): Sure!; [13:50] directive(p5): Sounds good.  I’m followi,231,655,9.286,9.1483,1.69
544,608,e(p5): Sounds good.  I’m following you!\n\nKey entities: Nate (0.9,127,614,10.4698,11.2142,1.53
576,640,"ng you!\n\nKey entities: Nate (0.93), Hermes (0.88), mcp (0.75), f",136,436,12.091,13.0215,1.28
608,672,"3), Hermes (0.88), mcp (0.75), feedback_drift_recognition.md (0.",235,596,8.459,9.3372,1.36
640,704,"eedback_drift_recognition.md (0.7), reference_cache_posture.md (",234,582,8.6114,9.7842,1.45
672,736,"7), reference_cache_posture.md (0.68), ghost_service_audit (0.65",231,617,8.061,6.1703,1.47
704,768,"0.68), ghost_service_audit (0.65), thread_318 (0.6)\n\nOpen questi",64,318,10.829,12.1976,10.96
736,800,"), thread_318 (0.6)\n\nOpen questions: {'description': 'Visibility",64,318,10.829,12.1976,1.23
768,832,ons: {'description': 'Visibility into platform‑level compute all,234,1018,9.855,5.1246,1.95
800,864, into platform‑level compute allocation shifts from within Herme,234,644,9.0904,5.8167,1.5
832,896,"ocation shifts from within Hermes', 'magnitude': 0.62, 'resoluti",234,654,9.1597,5.6503,1.44
864,928,"s', 'magnitude': 0.62, 'resolution_path': 'Request telemetry exp",234,621,8.5768,5.7446,1.43
896,960,on_path': 'Request telemetry export from infra team and compare ,234,835,9.2088,3.647,1.88
928,992,ort from infra team and compare against Hermes resource usage lo,231,1061,9.9402,5.2512,1.71
960,1024,against Hermes resource usage logs.'}; {'description': 'Reliabil,234,683,9.6067,4.3667,1.43
992,1056,gs.'}; {'description': 'Reliability of pattern‑matching selectio,231,665,10.3667,4.8664,1.44
1024,1088,ity of pattern‑matching selection when feedback_drift_recognitio,234,575,9.2048,7.1569,1.45
1056,1120,"n when feedback_drift_recognition.md is active', 'magnitude': 0.",234,727,9.0566,6.6912,1.64
1088,1152,"n.md is active', 'magnitude': 0.45, 'resolution_path': 'Run cont",234,662,9.1404,5.3115,1.43
1120,1184,"45, 'resolution_path': 'Run controlled prompt suite and measure ",234,634,8.4696,8.7937,1.28
1152,1216,rolled prompt suite and measure false‑positive/negative rates ac,234,576,9.8862,6.1272,1.41
1184,1248,false‑positive/negative rates across 50 iterations.'}; {'descrip,234,563,9.9879,10.628,1.3
1216,1280,ross 50 iterations.'}; {'description': 'Impact of continued rota,231,634,8.6281,8.7591,1.38
1248,1312,tion': 'Impact of continued rotation pressure (6/8) on depth‑per,234,634,8.4696,8.7937,1.94
1280,1344,"tion pressure (6/8) on depth‑per‑session cost trade‑off', 'magni",231,634,8.6281,8.7591,1.93
1312,1376,"‑session cost trade‑off', 'magnitude': 0.4, 'resolution_path': '",224,626,9.0561,7.1352,1.73
1344,1408,"tude': 0.4, 'resolution_path': 'Log nav vs cost metrics for the ",234,634,8.4696,8.7937,1.64
1376,1440,Log nav vs cost metrics for the next 4\u202fh and adjust nudge c,231,668,8.0519,5.7526,1.49
1408,1472,next 4\u202fh and adjust nudge cadence if cost spikes.'}\n\nCurren,231,576,8.4945,3.2759,1.48
