window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),244,1216,8.381689797019897,0.0,1.93
0,64,Current focus: Stabilize the Orange rotation while fully enablin,207,1229,10.7423,9.2938,1.99
32,96,nge rotation while fully enabling Hermes MCP toolset and 1‑hour ,136,779,12.5771,10.5751,1.5
64,128,"g Hermes MCP toolset and 1‑hour cache, finalize ghost‑service au",232,705,7.0188,6.8763,1.76
96,160,"cache, finalize ghost‑service audit, and embed drift‑recognition",135,744,12.6515,10.6907,1.63
128,192,"dit, and embed drift‑recognition memory to keep directives balan",205,697,11.4877,8.8466,1.57
160,224, memory to keep directives balanced.\n\nGoal: Maintain critical ro,235,758,8.3979,7.5942,1.55
192,256,ced.\n\nGoal: Maintain critical rotation safety while confirming H,145,782,12.5487,10.1495,1.61
224,288,"tation safety while confirming Hermes toolset functionality, com",136,831,13.3067,11.4711,1.68
256,320,"ermes toolset functionality, completing the ghost‑service audit,",209,673,10.1194,7.7567,1.63
288,352,"pleting the ghost‑service audit, preserving drift‑recognition sa",136,1100,12.8806,10.6036,1.56
320,384," preserving drift‑recognition safeguards, and keeping the 7‑minu",198,765,9.662,8.6955,1.94
352,416,"feguards, and keeping the 7‑minute nudge cadence within the 1‑ho",136,751,11.3587,9.2454,1.25
384,448,te nudge cadence within the 1‑hour cache window.\n\nKey entities: ,149,654,9.6183,7.924,1.71
416,480,"ur cache window.\n\nKey entities: Nate (0.93), Hermes (0.88), mcp ",186,804,8.2788,9.5045,1.66
448,512,"Nate (0.93), Hermes (0.88), mcp (0.75), feedback_drift_recogniti",135,759,10.5969,10.2761,1.85
480,544,"(0.75), feedback_drift_recognition.md (0.7), reference_cache_pos",144,790,14.6945,12.7886,1.63
512,576,"on.md (0.7), reference_cache_posture.md (0.68), ghost_service_au",233,727,7.5672,6.7961,1.53
544,608,"ture.md (0.68), ghost_service_audit (0.65), thread_318 (0.6)\n\nRe",241,641,5.9137,8.6343,1.44
576,640,"dit (0.65), thread_318 (0.6)\n\nRecent events: [13:30] directive(p",240,659,7.6259,8.2055,1.47
608,672,cent events: [13:30] directive(p5): Your rotation seems to be br,233,1348,9.1458,8.5899,1.95
640,704,5): Your rotation seems to be bringing up yesterdays convos BTW;,198,853,9.8743,7.9223,1.66
672,736,inging up yesterdays convos BTW; [13:30] directive(p5): Sure!; [,235,779,9.4626,7.4559,1.5
704,768, [13:30] directive(p5): Sure!; [13:30] directive(p5): Sweet!; [1,233,773,8.3008,7.7365,1.58
736,800,13:30] directive(p5): Sweet!; [13:20] directive(p5): Sure!; [13:,235,865,8.2715,7.1956,1.58
768,832,3:20] directive(p5): Sure!; [13:20] directive(p5): Sweet!; [13:2,206,832,9.1688,7.4787,1.71
800,864,20] directive(p5): Sweet!; [13:20] directive(p5): What do you ne,135,883,12.0942,10.3307,1.77
832,896,0] directive(p5): What do you need to advance the thread? If you,136,667,12.9491,11.6815,1.62
864,928,"ed to advance the thread? If your stuck, how do we work around i",233,856,7.5801,6.2582,1.42
896,960,"r stuck, how do we work around it or adjacent to it.  We should ",135,1144,12.8801,11.1645,1.9
928,992,t or adjacent to it.  We should probably have multiple probes of,136,670,11.1088,10.1803,1.46
960,1024,probably have multiple probes of projects going.  Doesnt make a ,136,779,11.4739,10.06,1.72
992,1056, projects going.  Doesnt make a whol l; [13:10] directive(p5): S,145,1079,11.8218,9.1235,1.85
1024,1088,whol l; [13:10] directive(p5): Sure!; [13:10] directive(p5): Swe,144,726,11.439,9.1424,7.98
1056,1120,ure!; [13:10] directive(p5): Sweet!; [13:10] directive(p5): What,233,755,8.3207,7.3983,1.64
1088,1152,et!; [13:10] directive(p5): What do you need to advance the thre,233,880,10.1864,7.0287,2.13
1120,1184," do you need to advance the thread? If your stuck, how do we wor",244,849,9.3813,7.4761,1.61
1152,1216,"ad? If your stuck, how do we work around it or adjacent to it.  ",136,719,12.7182,10.8439,1.54
1184,1248,k around it or adjacent to it.  We should probably have multiple,136,638,12.2904,10.3573,1.45
1216,1280,We should probably have multiple probes of projects going.  Does,145,934,14.1382,12.3547,1.6
1248,1312, probes of projects going.  Doesnt make a whol l; [13:06] direct,199,932,9.6892,7.8172,1.74
1280,1344,nt make a whol l; [13:06] directive(p5): Sweet!\n\nConstraints: Sh,136,816,12.3502,10.8732,1.6
1312,1376,ive(p5): Sweet!\n\nConstraints: Shell execution limited to whiteli,233,925,9.0203,7.3995,1.7
1344,1408,ell execution limited to whitelisted commands for safety; Suppor,233,661,8.8522,8.1383,1.52
1376,1440,sted commands for safety; Support contemplative development over,233,759,8.6624,7.7889,1.69
1408,1472,t contemplative development over pure optimization; Maintain sov,233,697,6.2155,7.4574,1.6
