window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),199,820,10.806388438586994,0.0,9.3
0,64,Current focus: Stabilize the Orange rotation while fully enablin,208,1504,9.9614,7.0066,2.3
32,96,nge rotation while fully enabling Hermes MCP toolset and 1‑hour ,136,857,14.1826,9.8631,1.71
64,128,"g Hermes MCP toolset and 1‑hour cache, finalize ghost‑service au",207,1253,10.1919,7.3441,1.89
96,160,"cache, finalize ghost‑service audit, and embed drift‑recognition",206,695,6.5459,8.0405,1.6
128,192,"dit, and embed drift‑recognition memory to keep directives balan",207,1411,9.9816,7.8757,2.44
160,224, memory to keep directives balanced.\n\nGoal: Maintain critical ro,244,1069,7.9905,10.0497,1.68
192,256,ced.\n\nGoal: Maintain critical rotation safety while confirming H,244,821,8.2151,9.9304,1.65
224,288,"tation safety while confirming Hermes toolset functionality, com",199,865,9.934,6.3092,1.76
256,320,"ermes toolset functionality, completing the ghost‑service audit,",199,1398,11.079,8.7079,2.05
288,352,"pleting the ghost‑service audit, preserving drift‑recognition sa",199,1571,12.3209,8.0719,2.25
320,384," preserving drift‑recognition safeguards, and keeping the 7‑minu",207,1075,10.7561,7.6934,1.96
352,416,"feguards, and keeping the 7‑minute nudge cadence within the 1‑ho",199,913,10.5476,7.0059,1.67
384,448,te nudge cadence within the 1‑hour cache window.\n\nKey entities: ,191,839,12.3696,12.563,1.83
416,480,"ur cache window.\n\nKey entities: Nate (0.93), Hermes (0.88), mcp ",228,769,10.614,10.3626,1.83
448,512,"Nate (0.93), Hermes (0.88), mcp (0.75), feedback_drift_recogniti",135,794,11.7307,9.273,1.95
480,544,"(0.75), feedback_drift_recognition.md (0.7), reference_cache_pos",145,928,12.8526,10.0491,1.55
512,576,"on.md (0.7), reference_cache_posture.md (0.68), ghost_service_au",235,783,8.0111,8.6958,1.45
544,608,"ture.md (0.68), ghost_service_audit (0.65), thread_318 (0.6)\n\nRe",193,534,10.3579,13.3574,1.12
576,640,"dit (0.65), thread_318 (0.6)\n\nRecent events: [13:40] directive(p",85,503,12.5027,13.6655,1.37
608,672,cent events: [13:40] directive(p5): Your rotation seems to be br,136,695,12.6753,9.1886,1.75
640,704,5): Your rotation seems to be bringing up yesterdays convos BTW;,136,571,14.3029,10.5022,1.42
672,736,inging up yesterdays convos BTW; [13:40] directive(p5): Sure!; [,232,734,8.2396,8.743,1.43
704,768, [13:40] directive(p5): Sure!; [13:40] directive(p5): Sweet!; [1,235,1256,8.4598,9.4842,1.94
736,800,13:40] directive(p5): Sweet!; [13:30] directive(p5): Your rotati,199,1007,10.648,6.2361,1.9
768,832,3:30] directive(p5): Your rotation seems to be bringing up yeste,251,861,9.7858,9.0701,1.59
800,864,on seems to be bringing up yesterdays convos BTW; [13:30] direct,235,864,8.3183,8.1002,1.55
832,896,rdays convos BTW; [13:30] directive(p5): Sure!; [13:30] directiv,235,869,8.4123,8.6514,1.74
864,928,ive(p5): Sure!; [13:30] directive(p5): Sweet!; [13:20] directive,232,890,8.4665,8.4677,1.6
896,960,e(p5): Sweet!; [13:20] directive(p5): Sure!; [13:20] directive(p,207,856,10.7786,7.7205,1.74
928,992,(p5): Sure!; [13:20] directive(p5): Sweet!; [13:20] directive(p5,334,909,7.2656,10.2535,1.99
960,1024,5): Sweet!; [13:20] directive(p5): What do you need to advance t,235,1201,7.9828,9.0202,1.93
992,1056,"): What do you need to advance the thread? If your stuck, how do",233,609,6.2907,10.212,1.57
1024,1088,"he thread? If your stuck, how do we work around it or adjacent t",235,609,6.3736,9.6583,1.46
1056,1120, we work around it or adjacent to it.  We should probably have m,207,925,9.4948,7.7862,2.03
1088,1152,o it.  We should probably have multiple probes of projects going,238,906,8.6361,9.2872,1.81
1120,1184,ultiple probes of projects going.  Doesnt make a whol l; [13:10],251,690,7.5385,8.1108,1.76
1152,1216,.  Doesnt make a whol l; [13:10] directive(p5): Sure!\n\nConstrain,136,818,11.7113,8.2357,1.46
1184,1248, directive(p5): Sure!\n\nConstraints: Shell execution limited to w,235,1054,8.5139,8.7577,1.63
1216,1280,ts: Shell execution limited to whitelisted commands for safety; ,235,865,7.9749,8.2527,1.86
1248,1312,hitelisted commands for safety; Support contemplative developmen,235,815,8.3468,8.9375,1.83
1280,1344,Support contemplative development over pure optimization; Mainta,232,727,7.4459,7.9774,1.44
1312,1376,t over pure optimization; Maintain sovereign infrastructure – se,232,749,7.3118,8.2056,1.53
1344,1408,in sovereign infrastructure – self‑hosted services preferred; NE,206,859,10.3442,7.6567,2.01
1376,1440,lf‑hosted services preferred; NEVER ignore creative_explore work,199,760,10.3437,7.9432,1.76
1408,1472,VER ignore creative_explore workspace – core directive; Do not r,199,1036,10.7334,7.0723,1.86
