window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),144,850,13.404478039134352,0.0,3.75
0,64,Recent events: [14:50] directive(p5): [short-affirmative]; [14:5,144,663,12.7047,4.6355,1.63
32,96,(p5): [short-affirmative]; [14:50] directive(p5): [translation-r,144,721,13.1746,5.8146,1.4
64,128,0] directive(p5): [translation-request]; [14:50] directive(p5): ,145,658,11.2731,7.7763,1.43
96,160,equest]; [14:50] directive(p5): [availability-update]; [14:50] [,144,1039,11.9056,5.5116,1.98
128,192,[availability-update]; [14:50] [thread-advance-header]: [substra,145,780,12.8865,5.0684,1.79
160,224,"thread-advance-header]: [substrate-divergence claim, revision ti",144,1066,12.2644,4.5776,1.59
192,256,"te-divergence claim, revision tier]; [14:50] [thread-advance-hea",145,1235,11.8671,7.0344,1.82
224,288,er]; [14:50] [thread-advance-header]: [substrate-divergence clai,144,806,12.2934,4.875,1.5
256,320,"der]: [substrate-divergence claim, initial tier]; [14:40] direct",144,1323,11.6918,5.8581,1.85
288,352,"m, initial tier]; [14:40] directive(p5): [availability-update]; ",144,816,12.468,4.6324,1.49
320,384,ive(p5): [availability-update]; [14:40] directive(p5): [affirmat,144,811,13.2931,3.5385,1.62
352,416,[14:40] directive(p5): [affirmative-directive]; [14:40] directiv,144,890,13.4791,4.3748,2.13
384,448,ive-directive]; [14:40] directive(p5): [observational-directive],144,1192,12.2388,5.0681,1.86
416,480,e(p5): [observational-directive]; [14:40] [thread-advance-header,144,703,12.8532,4.1263,1.63
448,512,"; [14:40] [thread-advance-header]: [substrate-divergence claim, ",144,803,13.9213,4.9712,2.12
480,544,"]: [substrate-divergence claim, revision tier]; [14:40] [thread-",145,1449,12.4791,6.4425,2.01
512,576,revision tier]; [14:40] [thread-advance-header]: [substrate-dive,145,789,13.1469,5.5987,1.75
544,608,"advance-header]: [substrate-divergence claim, initial tier]\n\nKey",164,1420,11.7536,6.9655,1.87
576,640,"rgence claim, initial tier]\n\nKey entities: Nate (0.93), Hermes (",417,1213,7.597,13.1991,1.92
608,672," entities: Nate (0.93), Hermes (0.88), mcp (0.75), feedback_drif",150,868,12.2294,9.4026,1.82
640,704,"0.88), mcp (0.75), feedback_drift_recognition.md (0.7), referenc",145,903,14.3192,4.7271,1.73
672,736,"t_recognition.md (0.7), reference_cache_posture.md (0.68), ghost",145,1325,13.26,6.0485,2.02
704,768,"e_cache_posture.md (0.68), ghost_service_audit (0.65), thread_31",218,633,8.9576,12.3273,1.4
736,800,"_service_audit (0.65), thread_318 (0.6)\n\nOpen questions: {'descr",212,577,8.1467,11.7741,1.55
768,832,8 (0.6)\n\nOpen questions: {'description': '[agent-observability c,273,1631,8.3505,11.9193,2.43
800,864,"iption': '[agent-observability concern, cross-layer]', 'magnitud",144,1249,12.9475,6.5279,1.97
832,896,"oncern, cross-layer]', 'magnitude': 0.62, 'resolution_path': '[r",144,693,11.5507,5.7644,1.69
864,928,"e': 0.62, 'resolution_path': '[request-external-data + compare-p",144,1197,13.1756,5.9898,1.92
896,960,equest-external-data + compare-path]'}; {'description': '[patter,145,803,11.2742,7.6425,1.78
928,992,ath]'}; {'description': '[pattern-matching reliability under act,144,1607,13.629,5.9096,1.89
960,1024,"n-matching reliability under active-feedback regime]', 'magnitud",145,760,12.1579,5.4645,1.45
992,1056,"ive-feedback regime]', 'magnitude': 0.45, 'resolution_path': '[c",144,824,11.6953,4.5872,1.76
1024,1088,"e': 0.45, 'resolution_path': '[controlled-suite + frequentist-me",144,903,12.4505,7.2206,1.87
1056,1120,ontrolled-suite + frequentist-measurement]'}; {'description': '[,144,768,13.9954,3.7441,1.53
1088,1152,asurement]'}; {'description': '[rotation-pressure impact on dept,144,1526,12.831,4.1866,2.02
1120,1184,"rotation-pressure impact on depth-cost trade-off]', 'magnitude':",145,982,12.4905,4.5475,1.88
1152,1216,"h-cost trade-off]', 'magnitude': 0.4, 'resolution_path': '[longi",144,997,12.2487,6.9886,1.85
1184,1248," 0.4, 'resolution_path': '[longitudinal-metric-log + cadence-adj",144,739,14.3116,4.0863,1.61
